DATE,Federal_Funds_Rate,10Y_Treasury_Rate,CPI,Unemployment_Rate,GDP,PCE,M2_Money_Supply,Consumer_Sentiment
2010-01-01,0.11,,217.488,9.8,14764.61,11202.495,8478.0,74.4
2010-01-04,,3.85,,,,,,
2010-01-05,,3.77,,,,,,
2010-01-06,,3.85,,,,,,
2010-01-07,,3.85,,,,,,
2010-01-08,,3.83,,,,,,
2010-01-11,,3.85,,,,,,
2010-01-12,,3.74,,,,,,
2010-01-13,,3.8,,,,,,
2010-01-14,,3.76,,,,,,
2010-01-15,,3.7,,,,,,
2010-01-18,,,,,,,,
2010-01-19,,3.73,,,,,,
2010-01-20,,3.68,,,,,,
2010-01-21,,3.62,,,,,,
2010-01-22,,3.62,,,,,,
2010-01-25,,3.66,,,,,,
2010-01-26,,3.65,,,,,,
2010-01-27,,3.66,,,,,,
2010-01-28,,3.68,,,,,,
2010-01-29,,3.63,,,,,,
2010-02-01,0.13,3.68,217.281,9.8,,,8527.6,73.6
2010-02-02,,3.67,,,,,,
2010-02-03,,3.73,,,,,,
2010-02-04,,3.62,,,,,,
2010-02-05,,3.59,,,,,,
2010-02-08,,3.62,,,,,,
2010-02-09,,3.67,,,,,,
2010-02-10,,3.72,,,,,,
2010-02-11,,3.73,,,,,,
2010-02-12,,3.69,,,,,,
2010-02-15,,,,,,,,
2010-02-16,,3.66,,,,,,
2010-02-17,,3.74,,,,,,
2010-02-18,,3.79,,,,,,
2010-02-19,,3.78,,,,,,
2010-02-22,,3.8,,,,,,
2010-02-23,,3.69,,,,,,
2010-02-24,,3.7,,,,,,
2010-02-25,,3.64,,,,,,
2010-02-26,,3.61,,,,,,
2010-03-01,0.16,3.61,217.353,9.9,,,8523.7,73.6
2010-03-02,,3.62,,,,,,
2010-03-03,,3.63,,,,,,
2010-03-04,,3.61,,,,,,
2010-03-05,,3.69,,,,,,
2010-03-08,,3.72,,,,,,
2010-03-09,,3.71,,,,,,
2010-03-10,,3.73,,,,,,
2010-03-11,,3.73,,,,,,
2010-03-12,,3.71,,,,,,
2010-03-15,,3.71,,,,,,
2010-03-16,,3.66,,,,,,
2010-03-17,,3.65,,,,,,
2010-03-18,,3.68,,,,,,
2010-03-19,,3.7,,,,,,
2010-03-22,,3.67,,,,,,
2010-03-23,,3.69,,,,,,
2010-03-24,,3.84,,,,,,
2010-03-25,,3.91,,,,,,
2010-03-26,,3.86,,,,,,
2010-03-29,,3.88,,,,,,
2010-03-30,,3.88,,,,,,
2010-03-31,,3.84,,,,,,
2010-04-01,0.2,3.89,217.403,9.9,14980.193,11302.955,8555.1,72.2
2010-04-02,,3.96,,,,,,
2010-04-05,,4.01,,,,,,
2010-04-06,,3.98,,,,,,
2010-04-07,,3.89,,,,,,
2010-04-08,,3.91,,,,,,
2010-04-09,,3.9,,,,,,
2010-04-12,,3.87,,,,,,
2010-04-13,,3.84,,,,,,
2010-04-14,,3.88,,,,,,
2010-04-15,,3.86,,,,,,
2010-04-16,,3.79,,,,,,
2010-04-19,,3.83,,,,,,
2010-04-20,,3.82,,,,,,
2010-04-21,,3.77,,,,,,
2010-04-22,,3.8,,,,,,
2010-04-23,,3.84,,,,,,
2010-04-26,,3.83,,,,,,
2010-04-27,,3.71,,,,,,
2010-04-28,,3.8,,,,,,
2010-04-29,,3.76,,,,,,
2010-04-30,,3.69,,,,,,
2010-05-01,0.2,,217.29,9.6,,,8609.3,73.6
2010-05-03,,3.72,,,,,,
2010-05-04,,3.63,,,,,,
2010-05-05,,3.58,,,,,,
2010-05-06,,3.41,,,,,,
2010-05-07,,3.45,,,,,,
2010-05-10,,3.57,,,,,,
2010-05-11,,3.56,,,,,,
2010-05-12,,3.56,,,,,,
2010-05-13,,3.55,,,,,,
2010-05-14,,3.44,,,,,,
2010-05-17,,3.47,,,,,,
2010-05-18,,3.38,,,,,,
2010-05-19,,3.36,,,,,,
2010-05-20,,3.25,,,,,,
2010-05-21,,3.2,,,,,,
2010-05-24,,3.23,,,,,,
2010-05-25,,3.18,,,,,,
2010-05-26,,3.21,,,,,,
2010-05-27,,3.34,,,,,,
2010-05-28,,3.31,,,,,,
2010-05-31,,,,,,,,
2010-06-01,0.18,3.29,217.199,9.4,,,8628.4,76.0
2010-06-02,,3.35,,,,,,
2010-06-03,,3.39,,,,,,
2010-06-04,,3.2,,,,,,
2010-06-07,,3.17,,,,,,
2010-06-08,,3.18,,,,,,
2010-06-09,,3.2,,,,,,
2010-06-10,,3.33,,,,,,
2010-06-11,,3.24,,,,,,
2010-06-14,,3.28,,,,,,
2010-06-15,,3.32,,,,,,
2010-06-16,,3.27,,,,,,
2010-06-17,,3.21,,,,,,
2010-06-18,,3.24,,,,,,
2010-06-21,,3.26,,,,,,
2010-06-22,,3.18,,,,,,
2010-06-23,,3.13,,,,,,
2010-06-24,,3.14,,,,,,
2010-06-25,,3.12,,,,,,
2010-06-28,,3.05,,,,,,
2010-06-29,,2.97,,,,,,
2010-06-30,,2.97,,,,,,
2010-07-01,0.18,2.96,217.605,9.4,15141.607,11383.596,8639.8,67.8
2010-07-02,,3.0,,,,,,
2010-07-05,,,,,,,,
2010-07-06,,2.95,,,,,,
2010-07-07,,3.0,,,,,,
2010-07-08,,3.04,,,,,,
2010-07-09,,3.07,,,,,,
2010-07-12,,3.08,,,,,,
2010-07-13,,3.15,,,,,,
2010-07-14,,3.07,,,,,,
2010-07-15,,3.0,,,,,,
2010-07-16,,2.96,,,,,,
2010-07-19,,2.99,,,,,,
2010-07-20,,2.98,,,,,,
2010-07-21,,2.9,,,,,,
2010-07-22,,2.96,,,,,,
2010-07-23,,3.02,,,,,,
2010-07-26,,3.03,,,,,,
2010-07-27,,3.08,,,,,,
2010-07-28,,3.03,,,,,,
2010-07-29,,3.03,,,,,,
2010-07-30,,2.94,,,,,,
2010-08-01,0.19,,217.923,9.5,,,8688.2,68.9
2010-08-02,,2.99,,,,,,
2010-08-03,,2.94,,,,,,
2010-08-04,,2.98,,,,,,
2010-08-05,,2.94,,,,,,
2010-08-06,,2.86,,,,,,
2010-08-09,,2.86,,,,,,
2010-08-10,,2.79,,,,,,
2010-08-11,,2.72,,,,,,
2010-08-12,,2.74,,,,,,
2010-08-13,,2.68,,,,,,
2010-08-16,,2.58,,,,,,
2010-08-17,,2.64,,,,,,
2010-08-18,,2.64,,,,,,
2010-08-19,,2.58,,,,,,
2010-08-20,,2.62,,,,,,
2010-08-23,,2.6,,,,,,
2010-08-24,,2.5,,,,,,
2010-08-25,,2.54,,,,,,
2010-08-26,,2.5,,,,,,
2010-08-27,,2.66,,,,,,
2010-08-30,,2.54,,,,,,
2010-08-31,,2.47,,,,,,
2010-09-01,0.19,2.58,218.275,9.5,,,8718.9,68.2
2010-09-02,,2.63,,,,,,
2010-09-03,,2.72,,,,,,
2010-09-06,,,,,,,,
2010-09-07,,2.61,,,,,,
2010-09-08,,2.66,,,,,,
2010-09-09,,2.77,,,,,,
2010-09-10,,2.81,,,,,,
2010-09-13,,2.74,,,,,,
2010-09-14,,2.68,,,,,,
2010-09-15,,2.74,,,,,,
2010-09-16,,2.77,,,,,,
2010-09-17,,2.75,,,,,,
2010-09-20,,2.72,,,,,,
2010-09-21,,2.61,,,,,,
2010-09-22,,2.56,,,,,,
2010-09-23,,2.56,,,,,,
2010-09-24,,2.62,,,,,,
