,Log_Returns,10Y,ConsumerSentiment,CPI,FedFunds,GDP,M2,Unemployment,Predicted_Return,Residual
2010-04-30,0.015351549974037836,3.69,72.2,217.403,0.2,14980.193,8555.1,9.9,0.0372597801772513,-0.021908230203213468
2010-07-31,0.0660690400195148,2.94,67.8,217.605,0.18,15141.607,8639.8,9.4,0.04653192428300869,0.019537115736506114
2010-10-31,0.037490578667079485,2.63,67.7,219.035,0.19,15309.474,8768.7,9.4,0.04738433866238072,-0.009893759995301232
2011-01-31,0.023032793471944053,3.42,74.2,221.187,0.17,15351.448,8845.2,9.1,0.028143659765536205,-0.005110866293592153
2011-04-30,0.028549615680120405,3.32,69.8,224.093,0.1,15557.539,9030.4,9.1,0.025889896096959603,0.0026597195831608023
2011-07-31,-0.02020753719764405,2.82,63.7,225.395,0.07,15647.68,9338.7,9.0,0.03675303798974537,-0.05696057518738942
2011-10-31,0.10359153509595272,2.17,60.8,226.75,0.07,15842.259,9578.1,8.8,0.04454785909539778,0.059043676000554934
2012-01-31,0.045331557238898035,1.83,75.0,227.842,0.08,16068.805,9750.5,8.3,0.03198424720226481,0.013347310036633225
2012-04-30,-0.006697699738298422,1.95,76.4,229.187,0.14,16207.115,9899.8,8.2,0.02900208934784807,-0.035699789086146495
2012-07-31,0.011760357821230933,1.51,72.3,228.59,0.16,16319.541,10065.7,8.2,0.04054128647530817,-0.028780928654077238
2012-10-31,-0.018365639689054927,1.72,82.6,231.638,0.16,16420.419,10282.8,7.8,0.023852285920230674,-0.0422179256092856
2013-01-31,0.04992290617235275,2.02,73.8,231.679,0.14,16648.189,10497.6,8.0,0.029553638568296688,0.020369267604056066
2013-04-30,0.019030059243342255,1.7,76.4,231.797,0.15,16728.687,10600.4,7.6,0.03029065002274878,-0.011260590779406526
2013-07-31,0.05038595527466227,2.6,85.1,232.9,0.09,16953.838,10731.5,7.3,0.007706632784329551,0.04267932249033272
2013-10-31,0.045266997948991,2.57,73.2,233.669,0.09,17192.019,10974.2,7.2,0.018421082570681285,0.026845915378309715
2014-01-31,-0.03588452243168404,2.67,81.2,235.288,0.07,17197.738,11117.6,6.6,0.006777795002825127,-0.04266231743450916
2014-04-30,0.006927773095062447,2.67,84.1,236.468,0.09,17518.508,11264.0,6.2,9.483681172228059e-05,0.006832936283340167
2014-07-31,-0.013528412668208173,2.58,81.8,237.498,0.09,17804.228,11438.4,6.2,0.0006555239681412459,-0.014183936636349419
2014-10-31,0.023278232294298012,2.35,86.9,237.43,0.09,17912.079,11577.5,5.7,-0.0017485638273633496,0.025026796121661362
2015-01-31,-0.030076868972748628,1.68,98.1,234.747,0.11,18063.529,11788.8,5.7,0.002537719010031584,-0.03261458798278021
2015-04-30,0.00978591224739072,2.05,95.9,236.222,0.12,18279.784,11937.6,5.4,-0.002756603145783366,0.012542515393174086
2015-07-31,0.02233799760235217,2.2,93.1,238.034,0.13,18401.626,12049.2,5.2,-0.005211825851373933,0.027549823453726103
2015-10-31,0.08163456791665424,2.16,90.0,237.733,0.12,18435.137,12206.1,5.0,-8.227509039660658e-06,0.0816427954256939
2016-01-31,-0.05106872142872111,1.94,92.0,237.652,0.34,18525.933,12506.0,4.8,0.0101953978933668,-0.06126411932208791
2016-04-30,0.003933365482550004,1.83,89.0,238.992,0.37,18711.702,12708.0,5.1,0.014070804112705667,-0.010137438630155662
2016-07-31,0.035821979652177205,1.46,90.0,240.101,0.39,18892.639,12889.7,4.8,0.015440989398392122,0.020380990253785085
2016-10-31,-0.017488965598841683,1.84,87.2,241.741,0.4,19089.379,13107.5,4.9,0.012481858432612429,-0.02997082403145411
2017-01-31,0.01773655626074016,2.45,98.5,243.618,0.65,19280.084,13300.7,4.7,-0.00045247755170699754,0.01818903381244716
2017-04-30,0.009877025042120685,2.29,97.0,244.193,0.9,19438.643,13484.7,4.4,0.00915173156541741,0.0007252934767032742
2017-07-31,0.020345842191235364,2.3,93.4,244.243,1.15,19692.595,13615.4,4.3,0.01863290990051774,0.001712932290717624
2017-10-31,0.023290591341503537,2.38,100.7,246.626,1.15,20037.088,13782.3,4.2,0.004748858248965404,0.018541733092538135
2018-01-31,0.05482795320381848,2.72,95.7,248.859,1.41,20328.553,13883.2,4.0,0.006807834758646245,0.04802011844517223
2018-04-30,0.005154941625325805,2.95,98.8,250.227,1.69,20580.912,13993.9,4.0,0.005897838349510829,-0.0007428967241850243
2018-07-31,0.03637649012042034,2.96,97.9,251.214,1.91,20798.73,14144.2,3.8,0.010529296810565194,0.025847193309855146
2018-10-31,-0.07160816826779587,3.15,98.6,252.772,2.19,20917.867,14241.4,3.8,0.01310569590186836,-0.08471386416966423
2019-01-31,0.07702183827280835,2.63,91.2,252.561,2.4,21111.6,14446.1,4.0,0.03349865714915973,0.04352318112364863
2019-04-30,0.04004009081685659,2.51,97.2,255.233,2.42,21397.938,14554.5,3.7,0.022149068234814787,0.017891022582041803
2019-07-31,0.015006203075623779,2.02,98.4,255.802,2.4,21717.171,14853.5,3.7,0.02554407343034891,-0.01053787035472513
2019-10-31,0.02186375585533068,1.69,95.5,257.155,1.83,21933.217,15167.3,3.6,0.014493773271251842,0.007369982584078838
